iter	Passed	Remaining
0	144	144305
1	146	73240
2	149	49535
3	151	37652
4	153	30522
5	155	25830
6	158	22437
7	160	19920
8	164	18104
9	166	16504
10	169	15198
11	171	14099
12	173	13173
13	175	12374
14	177	11680
15	180	11073
16	182	10535
17	184	10057
18	186	9645
19	188	9259
20	191	8911
21	193	8597
22	195	8307
23	197	8041
24	199	7797
25	202	7570
26	204	7364
27	206	7171
28	208	6991
29	211	6825
30	213	6666
31	215	6517
32	217	6380
33	219	6249
34	222	6126
35	224	6012
36	226	5902
37	228	5795
38	231	5694
39	233	5597
40	235	5508
41	237	5422
42	239	5339
43	242	5259
44	244	5185
45	246	5114
46	248	5045
47	251	4982
48	253	4917
49	255	4855
50	257	4796
51	259	4738
52	262	4683
53	264	4630
54	266	4578
55	268	4528
56	270	4481
57	273	4434
58	275	4389
59	277	4346
60	279	4304
61	281	4264
62	284	4225
63	286	4188
64	288	4150
65	290	4114
66	293	4080
67	295	4046
68	297	4012
69	299	3979
70	301	3948
71	303	3917
72	306	3887
73	308	3858
74	310	3830
75	312	3803
76	314	3775
77	317	3749
78	319	3724
79	321	3698
80	323	3673
81	326	3651
82	328	3627
83	330	3605
84	332	3583
85	335	3564
86	337	3544
87	339	3523
88	342	3503
89	344	3484
90	347	3466
91	349	3447
92	351	3429
93	353	3409
94	356	3391
95	358	3373
96	360	3355
97	362	3340
98	365	3323
99	367	3307
100	369	3291
101	371	3271
102	373	3255
103	376	3240
104	378	3225
105	380	3210
106	382	3196
107	385	3181
108	387	3167
109	389	3154
110	392	3140
111	394	3128
112	396	3114
113	399	3102
114	401	3089
115	403	3076
116	405	3063
117	408	3051
118	410	3039
119	412	3028
120	415	3017
121	417	3006
122	419	2994
123	422	2983
124	424	2971
125	426	2959
126	428	2948
127	431	2938
128	433	2926
129	435	2915
130	437	2904
131	440	2894
132	442	2883
133	444	2872
134	446	2863
135	449	2853
136	451	2843
137	453	2833
138	455	2823
139	458	2813
140	460	2804
141	462	2794
142	464	2783
143	466	2773
144	468	2763
145	471	2755
146	473	2746
147	475	2737
148	477	2728
149	479	2719
150	482	2711
151	484	2702
152	486	2693
153	488	2685
154	491	2677
155	493	2668
156	495	2660
157	497	2652
158	499	2644
159	502	2635
160	504	2627
161	506	2620
162	508	2612
163	510	2604
164	513	2596
165	515	2588
166	517	2580
167	519	2573
168	522	2567
169	524	2560
170	526	2553
171	529	2546
172	531	2539
173	533	2533
174	536	2527
175	538	2521
176	540	2514
177	542	2507
178	545	2500
179	547	2494
180	550	2490
181	552	2484
182	554	2477
183	557	2470
184	559	2464
185	561	2457
186	563	2451
187	565	2444
188	568	2439
189	570	2433
190	573	2427
191	575	2421
192	577	2415
193	579	2409
194	582	2403
195	584	2398
196	586	2392
197	589	2386
198	591	2380
199	593	2375
200	595	2369
201	598	2363
202	600	2357
203	602	2351
204	604	2346
205	607	2340
206	609	2334
207	611	2329
208	613	2323
209	616	2318
210	618	2313
211	620	2308
212	623	2302
213	625	2296
214	627	2291
215	629	2285
216	632	2280
217	634	2275
218	636	2270
219	638	2264
220	640	2259
221	643	2253
222	645	2248
223	647	2243
224	649	2238
225	652	2233
226	654	2228
227	656	2222
228	658	2217
229	660	2210
230	662	2205
231	664	2200
232	666	2195
233	669	2190
234	671	2185
235	673	2180
236	675	2175
237	677	2170
238	680	2165
239	682	2160
240	684	2155
241	686	2150
242	688	2145
243	690	2140
244	693	2135
245	695	2131
246	697	2126
247	699	2121
248	701	2116
249	704	2112
250	706	2107
251	708	2103
252	710	2098
253	712	2093
254	715	2089
255	717	2084
256	719	2079
257	721	2075
258	724	2071
259	726	2067
260	728	2062
261	730	2058
262	732	2053
263	735	2049
264	737	2045
265	739	2041
266	741	2036
267	744	2032
268	746	2028
269	748	2024
270	751	2020
271	753	2016
272	755	2011
273	757	2007
274	759	2003
275	762	1999
276	764	1995
277	766	1991
278	768	1987
279	771	1983
280	773	1980
281	776	1976
282	778	1972
283	780	1968
284	783	1964
285	784	1958
286	786	1953
287	788	1949
288	790	1945
289	792	1941
290	795	1937
291	797	1933
292	799	1929
293	801	1925
294	804	1921
295	806	1918
296	808	1914
297	811	1910
298	813	1906
299	815	1902
300	818	1899
301	820	1895
302	822	1891
303	824	1887
304	826	1884
305	829	1880
306	831	1876
307	833	1873
308	836	1869
309	838	1865
310	840	1861
311	842	1858
312	844	1854
313	847	1850
314	849	1846
315	851	1843
316	853	1839
317	855	1835
318	858	1831
319	860	1828
320	862	1824
321	864	1820
322	866	1816
323	868	1812
324	871	1809
325	873	1805
326	875	1801
327	877	1798
328	879	1794
329	881	1790
330	884	1787
331	886	1783
332	888	1779
333	890	1776
334	893	1772
335	894	1768
336	897	1764
337	899	1761
338	901	1757
339	903	1754
340	906	1751
341	908	1747
342	910	1744
343	912	1740
344	914	1737
345	917	1733
346	919	1729
347	921	1726
348	923	1723
349	926	1719
350	928	1716
351	930	1712
352	932	1709
353	935	1706
354	937	1703
355	939	1699
356	941	1696
357	944	1693
358	946	1689
359	948	1686
360	950	1683
361	953	1680
362	955	1677
363	958	1674
364	960	1670
365	962	1667
366	964	1664
367	967	1661
368	969	1657
369	971	1654
370	974	1651
371	976	1648
372	978	1644
373	980	1641
374	982	1638
375	985	1634
376	987	1631
377	989	1628
378	991	1625
379	993	1620
380	995	1617
381	997	1614
382	1000	1611
383	1002	1608
384	1004	1604
385	1006	1601
386	1009	1598
387	1011	1595
388	1013	1592
389	1015	1588
390	1018	1585
391	1020	1582
392	1022	1579
393	1024	1576
394	1026	1572
395	1029	1569
396	1031	1566
397	1033	1563
398	1035	1560
399	1038	1557
400	1040	1554
401	1042	1551
402	1044	1547
403	1047	1544
404	1049	1541
405	1051	1538
406	1053	1535
407	1055	1531
408	1057	1528
409	1060	1525
410	1062	1522
411	1064	1519
412	1066	1515
413	1068	1512
414	1070	1509
415	1073	1506
416	1075	1503
417	1077	1500
418	1079	1497
419	1081	1494
420	1084	1491
421	1086	1487
422	1088	1484
423	1090	1481
424	1093	1479
425	1095	1476
426	1097	1472
427	1099	1469
428	1102	1466
429	1104	1463
430	1106	1460
431	1108	1457
432	1111	1454
433	1113	1451
434	1115	1448
435	1117	1445
436	1119	1442
437	1122	1440
438	1124	1437
439	1127	1434
440	1129	1431
441	1131	1429
442	1134	1426
443	1136	1423
444	1139	1420
445	1141	1417
446	1143	1415
447	1146	1412
448	1148	1409
449	1151	1407
450	1153	1404
451	1156	1401
452	1158	1398
453	1161	1396
454	1163	1393
455	1165	1390
456	1168	1388
457	1170	1385
458	1173	1382
459	1175	1379
460	1177	1377
461	1180	1374
462	1182	1371
463	1184	1368
464	1186	1365
465	1189	1362
466	1191	1359
467	1193	1356
468	1196	1354
469	1198	1351
470	1200	1348
471	1202	1345
472	1205	1342
473	1207	1339
474	1209	1336
475	1211	1333
476	1213	1331
477	1216	1328
478	1218	1325
479	1220	1322
480	1222	1319
481	1225	1316
482	1227	1313
483	1229	1310
484	1231	1307
485	1233	1304
486	1236	1302
487	1238	1299
488	1240	1296
489	1242	1293
490	1244	1290
491	1247	1287
492	1249	1284
493	1251	1281
494	1253	1278
495	1255	1276
496	1258	1273
497	1260	1270
498	1262	1267
499	1264	1264
500	1266	1261
501	1269	1258
502	1271	1256
503	1273	1253
504	1275	1250
505	1277	1247
506	1280	1244
507	1282	1242
508	1284	1239
509	1286	1236
510	1288	1233
511	1291	1230
512	1293	1227
513	1295	1224
514	1297	1222
515	1300	1219
516	1302	1216
517	1304	1213
518	1306	1211
519	1308	1208
520	1310	1205
521	1313	1202
522	1315	1199
523	1317	1196
524	1319	1194
525	1322	1191
526	1324	1188
527	1326	1185
528	1329	1183
529	1331	1180
530	1333	1177
531	1335	1175
532	1337	1172
533	1340	1169
534	1342	1166
535	1344	1164
536	1346	1161
537	1349	1158
538	1351	1155
539	1353	1153
540	1355	1150
541	1358	1147
542	1360	1144
543	1362	1142
544	1364	1139
545	1366	1136
546	1369	1133
547	1371	1131
548	1373	1128
549	1375	1125
550	1378	1122
551	1380	1120
552	1382	1117
553	1384	1114
554	1387	1112
555	1389	1109
556	1391	1106
557	1393	1104
558	1395	1101
559	1398	1098
560	1400	1095
561	1402	1093
562	1404	1090
563	1407	1087
564	1409	1085
565	1411	1082
566	1413	1079
567	1416	1077
568	1418	1074
569	1420	1071
570	1422	1068
571	1424	1066
572	1427	1063
573	1429	1060
574	1431	1058
575	1433	1055
576	1436	1052
577	1438	1050
578	1440	1047
579	1442	1044
580	1445	1042
581	1447	1039
582	1449	1036
583	1451	1034
584	1453	1031
585	1456	1028
586	1458	1026
587	1461	1023
588	1463	1021
589	1465	1018
590	1467	1015
591	1469	1013
592	1472	1010
593	1474	1007
594	1476	1005
595	1478	1002
596	1480	999
597	1483	996
598	1485	994
599	1487	991
600	1489	988
601	1491	986
602	1494	983
603	1496	980
604	1498	978
605	1500	975
606	1502	972
607	1504	970
608	1507	967
609	1509	964
610	1511	962
611	1513	959
612	1516	957
613	1518	954
614	1520	951
615	1522	949
616	1524	946
617	1527	943
618	1529	941
619	1531	938
620	1533	936
621	1536	933
622	1538	930
623	1540	928
624	1543	925
625	1545	923
626	1548	920
627	1550	918
628	1552	915
629	1555	913
630	1557	910
631	1559	908
632	1561	905
633	1564	903
634	1566	900
635	1569	898
636	1571	895
637	1573	892
638	1575	890
639	1578	887
640	1580	885
641	1582	882
642	1585	880
643	1587	877
644	1589	875
645	1591	872
646	1594	869
647	1596	867
648	1598	864
649	1600	861
650	1602	859
651	1605	856
652	1607	854
653	1609	851
654	1611	848
655	1614	846
656	1616	843
657	1618	841
658	1620	838
659	1622	836
660	1625	833
661	1627	830
662	1629	828
663	1632	825
664	1634	823
665	1636	820
666	1638	818
667	1640	815
668	1643	812
669	1645	810
670	1647	807
671	1649	805
672	1651	802
673	1654	800
674	1656	797
675	1658	795
676	1660	792
677	1663	789
678	1665	787
679	1667	784
680	1669	782
681	1672	779
